text_id,text
chunk_0_1,"LEY ORGÁNICA 10/1995, DE 23 DE NOVIEMBRE, DEL
CÓDIGO PENAL
(«BOE» núm. 281, de 24 de noviembre de 1995)"
chunk_0_2,"JUAN CARLOS I
Rey de España
A todos los que la presente vieren y entendieren.
Sabed: Que las Cortes Generales han aprobado y Yo vengo en
sancionar la siguiente Ley Orgánica:
EXPOSICIÓN DE MOTIVOS
Si se ha llegado a definir el ordenamiento jurídico como conjunto de normas que regulan el uso de la fuerza, puede entenderse fácilmente la importancia del Código Penal en cualquier
sociedad civilizada. El Código Penal define los delitos y faltas
que constituyen los presupuestos de la aplicación de la forma
suprema que puede revestir el poder coactivo del Estado: la
pena criminal. En consecuencia, ocupa un lugar preeminente en
el conjunto del ordenamiento, hasta el punto de que, no sin
razón, se ha considerado como una especie de «Constitución
negativa». El Código Penal ha de tutelar los valores y principios
básicos de la convivencia social. Cuando esos valores y principios cambian, debe también cambiar. En nuestro país, sin
embargo, pese a las profundas modificaciones de orden social,"
chunk_0_3,"negativa». El Código Penal ha de tutelar los valores y principios
básicos de la convivencia social. Cuando esos valores y principios cambian, debe también cambiar. En nuestro país, sin
embargo, pese a las profundas modificaciones de orden social,
económico y político, el texto vigente data, en lo que pudiera
considerarse su núcleo básico, del pasado siglo. La necesidad
de su reforma no puede, pues, discutirse.
A partir de los distintos intentos de reforma llevados a cabo
desde la instauración del régimen democrático, el Gobierno ha
elaborado el proyecto que somete a la discusión y aprobación
de las Cámaras. Debe, por ello, exponer, siquiera sea de modo
15"
chunk_0_4,"sucinto, los criterios en que se inspira, aunque éstos puedan
deducirse con facilidad de la lectura de su texto.
El eje de dichos criterios ha sido, como es lógico, el de la adaptación positiva del nuevo Código Penal a los valores constitucionales. Los cambios que introduce en esa dirección el presente
proyecto son innumerables, pero merece la pena destacar algunos.
En primer lugar, se propone una reforma total del actual sistema
de penas, de modo que permita alcanzar, en lo posible, los objetivos de resocialización que la Constitución le asigna. El sistema
que se propone simplifica, de una parte, la regulación de las
penas privativas de libertad, ampliando, a la vez, las posibilidades de sustituirlas por otras que afecten a bienes jurídicos
menos básicos, y, de otra, introduce cambios en las penas pecuniarias, adoptando el sistema de días-multa y añade los trabajos
en beneficio de la comunidad.
En segundo lugar, se ha afrontado la antinomia existente entre"
chunk_0_5,"menos básicos, y, de otra, introduce cambios en las penas pecuniarias, adoptando el sistema de días-multa y añade los trabajos
en beneficio de la comunidad.
En segundo lugar, se ha afrontado la antinomia existente entre
el principio de intervención mínima y las crecientes necesidades
de tutela en una sociedad cada vez más compleja, dando prudente acogida a nuevas formas de delincuencia, pero eliminando, a la vez, figuras delictivas que han perdido su razón de
ser. En el primer sentido, merece destacarse la introducción de
los delitos contra el orden socioeconómico o la nueva regulación de los delitos relativos a la ordenación del territorio y de los
recursos naturales; en el segundo, la desaparición de las figuras
complejas de robo con violencia e intimidación en las personas
que, surgidas en el marco de la lucha contra el bandolerismo,
deben desaparecer dejando paso a la aplicación de las reglas
generales.
En tercer lugar, se ha dado especial relieve a la tutela de los"
chunk_0_6,"que, surgidas en el marco de la lucha contra el bandolerismo,
deben desaparecer dejando paso a la aplicación de las reglas
generales.
En tercer lugar, se ha dado especial relieve a la tutela de los
derechos fundamentales y se ha procurado diseñar con especial
mesura el recurso al instrumento punitivo allí donde está en
juego el ejercicio de cualquiera de ellos: sirva de ejemplo, de
una parte, la tutela específica de la integridad moral y, de otra,
la nueva regulación de los delitos contra el honor. Al tutelar
específicamente la integridad moral, se otorga al ciudadano una
protección más fuerte frente a la tortura, y al configurar los delitos contra el honor del modo en que se propone, se otorga a la
libertad de expresión toda la relevancia que puede y debe reconocerle un régimen democrático.
16"
chunk_0_7,"En cuarto lugar, y en consonancia con el objetivo de tutela y
respeto a los derechos fundamentales, se ha eliminado el régimen de privilegio de que hasta ahora han venido gozando las
injerencias ilegítimas de los funcionarios públicos en el ámbito
de los derechos y libertades de los ciudadanos. Por tanto, se
propone que las detenciones, entradas y registros en el domicilio llevadas a cabo por autoridad o funcionario fuera de los casos
permitidos por la Ley, sean tratadas como formas agravadas de
los correspondientes delitos comunes, y no como hasta ahora lo
han venido siendo, esto es, como delitos especiales incomprensible e injustificadamente atenuados.
En quinto lugar, se ha procurado avanzar en el camino de la
igualdad real y efectiva, tratando de cumplir la tarea que, en ese
sentido, impone la Constitución a los poderes públicos. Cierto
que no es el Código Penal el instrumento más importante para
llevar a cabo esa tarea; sin embargo, puede contribuir a ella,"
chunk_0_8,"igualdad real y efectiva, tratando de cumplir la tarea que, en ese
sentido, impone la Constitución a los poderes públicos. Cierto
que no es el Código Penal el instrumento más importante para
llevar a cabo esa tarea; sin embargo, puede contribuir a ella,
eliminando regulaciones que son un obstáculo para su realización o introduciendo medidas de tutela frente a situaciones discriminatorias. Además de las normas que otorgan una protección
específica frente a las actividades tendentes a la discriminación,
ha de mencionarse aquí la nueva regulación de los delitos contra
la libertad sexual. Se pretende con ella adecuar los tipos penales
al bien jurídico protegido, que no es ya, como fuera históricamente, la honestidad de la mujer, sino la libertad sexual de
todos. Bajo la tutela de la honestidad de la mujer se escondía
una intolerable situación de agravio, que la regulación que se
propone elimina totalmente. Podrá sorprender la novedad de
las técnicas punitivas utilizadas; pero, en este caso, alejarse de"
chunk_0_9,"todos. Bajo la tutela de la honestidad de la mujer se escondía
una intolerable situación de agravio, que la regulación que se
propone elimina totalmente. Podrá sorprender la novedad de
las técnicas punitivas utilizadas; pero, en este caso, alejarse de
la tradición parece un acierto.
Dejando el ámbito de los principios y descendiendo al de las
técnicas de elaboración, el presente proyecto difiere de los
anteriores en la pretensión de universalidad. Se venía operando
con la idea de que el Código Penal constituyese una regulación
completa del poder punitivo del Estado. La realización de esa
idea partía ya de un déficit, dada la importancia que en nuestro
país reviste la potestad sancionadora de la Administración; pero,
además, resultaba innecesaria y perturbadora.
Innecesaria, porque la opción decimonónica a favor del Código
Penal y en contra de las leyes especiales se basaba en el hecho
innegable de que el legislador, al elaborar un Código, se hallaba"
chunk_0_10,"además, resultaba innecesaria y perturbadora.
Innecesaria, porque la opción decimonónica a favor del Código
Penal y en contra de las leyes especiales se basaba en el hecho
innegable de que el legislador, al elaborar un Código, se hallaba
constreñido, por razones externas de trascendencia social, a res17"
